region_id,geography_type,state_name,date,home_value
23,State,Kansas,2000-09-30,93289.99131761576
41,State,New Mexico,2000-09-30,
38,State,Nebraska,2000-09-30,119952.22838618858
20,State,Idaho,2000-09-30,128993.74220370782
61,State,West Virginia,2000-09-30,76363.78988699302
18,State,Hawaii,2000-09-30,201908.6703017891
39,State,New Hampshire,2000-09-30,145774.38677653155
28,State,Maine,2000-09-30,115744.46074696096
50,State,Rhode Island,2000-09-30,143679.21839282775
35,State,Montana,2000-09-30,
13,State,Delaware,2000-09-30,156785.091385447
52,State,South Dakota,2000-09-30,108981.85827545571
37,State,North Dakota,2000-09-30,
3,State,Alaska,2000-09-30,140292.78923076013
12,State,District of Columbia,2000-09-30,174393.02925168257
58,State,Vermont,2000-09-30,123925.8823607103
62,State,Wyoming,2000-09-30,
9,State,California,2000-10-31,209270.3655706628
54,State,Texas,2000-10-31,117144.5673140828
14,State,Florida,2000-10-31,114740.48867479488
43,State,New York,2000-10-31,162683.38385072805
47,State,Pennsylvania,2000-10-31,105224.16604600313
21,State,Illinois,2000-10-31,139294.43621066635
44,State,Ohio,2000-10-31,111199.74789119075
16,State,Georgia,2000-10-31,134946.58942279592
36,State,North Carolina,2000-10-31,135796.21497151811
30,State,Michigan,2000-10-31,125523.91053329632
40,State,New Jersey,2000-10-31,183400.22697230752
56,State,Virginia,2000-10-31,133074.50112696903
59,State,Washington,2000-10-31,185652.23318275964
8,State,Arizona,2000-10-31,142618.40995210884
26,State,Massachusetts,2000-10-31,218863.19889079023
53,State,Tennessee,2000-10-31,117039.89310380728
22,State,Indiana,2000-10-31,101044.31586705297
27,State,Maryland,2000-10-31,159058.92026291555
32,State,Missouri,2000-10-31,103899.54543964684
60,State,Wisconsin,2000-10-31,128085.67019989582
10,State,Colorado,2000-10-31,195731.7088159985
31,State,Minnesota,2000-10-31,139094.83299546273
51,State,South Carolina,2000-10-31,120466.55375852328
4,State,Alabama,2000-10-31,105205.51241698427
25,State,Louisiana,2000-10-31,115116.1759295088
24,State,Kentucky,2000-10-31,94500.578016021
46,State,Oregon,2000-10-31,158738.72735476113
45,State,Oklahoma,2000-10-31,87676.53930784854
11,State,Connecticut,2000-10-31,175620.10135291028
55,State,Utah,2000-10-31,178172.77095295434
19,State,Iowa,2000-10-31,96543.25820404904
42,State,Nevada,2000-10-31,162389.6878041722
6,State,Arkansas,2000-10-31,92676.16551830596
34,State,Mississippi,2000-10-31,93863.41684391112
23,State,Kansas,2000-10-31,93653.51123703273
41,State,New Mexico,2000-10-31,
38,State,Nebraska,2000-10-31,120242.9825740134
20,State,Idaho,2000-10-31,129319.72142991626
61,State,West Virginia,2000-10-31,76717.06662534025
18,State,Hawaii,2000-10-31,203285.43255351656
39,State,New Hampshire,2000-10-31,147718.48448465942
28,State,Maine,2000-10-31,116584.85143358096
50,State,Rhode Island,2000-10-31,144781.16890343552
35,State,Montana,2000-10-31,
13,State,Delaware,2000-10-31,157474.36727197282
52,State,South Dakota,2000-10-31,109234.02672343906
37,State,North Dakota,2000-10-31,
3,State,Alaska,2000-10-31,140233.23240290114
12,State,District of Columbia,2000-10-31,174695.46854955697
58,State,Vermont,2000-10-31,124834.23392148576
62,State,Wyoming,2000-10-31,
9,State,California,2000-11-30,211707.99273305017
54,State,Texas,2000-11-30,117491.376399297
14,State,Florida,2000-11-30,115465.16159763788
43,State,New York,2000-11-30,163850.0135508733
47,State,Pennsylvania,2000-11-30,105704.8458204454
21,State,Illinois,2000-11-30,140444.73815871027
44,State,Ohio,2000-11-30,111693.67796901905
16,State,Georgia,2000-11-30,135877.61327844474
36,State,North Carolina,2000-11-30,136364.80640718818
30,State,Michigan,2000-11-30,126370.92496730071
40,State,New Jersey,2000-11-30,185042.1037243387
56,State,Virginia,2000-11-30,133992.75627808875
59,State,Washington,2000-11-30,186349.24123646095
8,State,Arizona,2000-11-30,143284.6371908258
26,State,Massachusetts,2000-11-30,221946.40568093225
53,State,Tennessee,2000-11-30,117420.24420027377
22,State,Indiana,2000-11-30,101615.40930297524
27,State,Maryland,2000-11-30,159877.9553910656
32,State,Missouri,2000-11-30,104675.17585106991
60,State,Wisconsin,2000-11-30,128709.30670326404
10,State,Colorado,2000-11-30,197840.47639093
31,State,Minnesota,2000-11-30,140680.38032899078
51,State,South Carolina,2000-11-30,121000.75402409474
4,State,Alabama,2000-11-30,105627.31973745595
25,State,Louisiana,2000-11-30,115716.42404389498
24,State,Kentucky,2000-11-30,94944.19188438564
46,State,Oregon,2000-11-30,159147.2275796089
45,State,Oklahoma,2000-11-30,88018.48417027376
11,State,Connecticut,2000-11-30,177056.48059128996
55,State,Utah,2000-11-30,178732.33953921407
19,State,Iowa,2000-11-30,96998.28378195978
42,State,Nevada,2000-11-30,163139.86045896067
6,State,Arkansas,2000-11-30,93127.16504935344
34,State,Mississippi,2000-11-30,94392.86118696695
23,State,Kansas,2000-11-30,94047.84602373117
41,State,New Mexico,2000-11-30,
38,State,Nebraska,2000-11-30,120577.60242926212
20,State,Idaho,2000-11-30,129579.43766506732
61,State,West Virginia,2000-11-30,77178.9493470423
18,State,Hawaii,2000-11-30,204179.75532054645
39,State,New Hampshire,2000-11-30,149584.15963950192
28,State,Maine,2000-11-30,117594.89574319115
50,State,Rhode Island,2000-11-30,145837.03306660548
35,State,Montana,2000-11-30,
13,State,Delaware,2000-11-30,158321.30729213022
52,State,South Dakota,2000-11-30,109275.20079797583
37,State,North Dakota,2000-11-30,
3,State,Alaska,2000-11-30,140377.7912848892
12,State,District of Columbia,2000-11-30,174993.82058482198
58,State,Vermont,2000-11-30,125757.70472860882
62,State,Wyoming,2000-11-30,
9,State,California,2000-12-31,214093.6867279094
54,State,Texas,2000-12-31,117876.59806337063
14,State,Florida,2000-12-31,116212.59988136672
43,State,New York,2000-12-31,165130.6043651409
47,State,Pennsylvania,2000-12-31,106202.03905359509
21,State,Illinois,2000-12-31,141357.82384607522
44,State,Ohio,2000-12-31,112164.4246004931
16,State,Georgia,2000-12-31,136863.0006229273
36,State,North Carolina,2000-12-31,136968.1998997129
30,State,Michigan,2000-12-31,127251.86415376687
40,State,New Jersey,2000-12-31,186501.5235247352
56,State,Virginia,2000-12-31,134931.70320589375
59,State,Washington,2000-12-31,187176.5861872045
8,State,Arizona,2000-12-31,143931.80156661113
26,State,Massachusetts,2000-12-31,224994.07132861644
53,State,Tennessee,2000-12-31,117849.0050878173
22,State,Indiana,2000-12-31,102287.77942855102
27,State,Maryland,2000-12-31,160769.84715898606
32,State,Missouri,2000-12-31,105407.4874748078
60,State,Wisconsin,2000-12-31,129321.17982530248
10,State,Colorado,2000-12-31,199855.27322619373
